%%z	rayleigh_scattering	aerosol_scattering	ozone_absorption	aerosol_absorption	extinction	rayleigh_density	ozone_density_1	ozone_density_2	ozone_density_3	ozone_density_4	ozone_density_5	ozone_density_6	ozone_density_7	ozone_density_8	ozone_density_9	ozone_density_10	ozone_density_11	ozone_density_12	aerosol_density
0	0.0169523	0.631228	0.000737616	0.789226	1.43814	2.54692e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.8662e+15
0.00976562	0.0169373	0.628154	0.000737616	0.785382	1.43121	2.54467e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.85711e+15
0.0195312	0.0169223	0.625094	0.000737616	0.781556	1.42431	2.54242e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.84806e+15
0.0292969	0.0169073	0.622049	0.000737616	0.777749	1.41744	2.54016e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.83906e+15
0.0390625	0.0168923	0.619019	0.000737616	0.773961	1.41061	2.53791e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.8301e+15
0.0488281	0.0168773	0.616004	0.000737616	0.770191	1.40381	2.53566e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.82119e+15
0.0585938	0.0168623	0.613004	0.000737616	0.76644	1.39704	2.5334e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.81232e+15
0.0683594	0.0168473	0.610018	0.000737616	0.762706	1.39031	2.53115e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.80349e+15
0.078125	0.0168323	0.607046	0.000737616	0.758991	1.38361	2.52889e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.79471e+15
0.0878906	0.0168172	0.604089	0.000737616	0.755294	1.37694	2.52663e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.78597e+15
0.0976562	0.0168022	0.601147	0.000737616	0.751615	1.3703	2.52437e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.77727e+15
0.107422	0.0167872	0.598219	0.000737616	0.747954	1.3637	2.52211e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.76861e+15
0.117188	0.0167721	0.595305	0.000737616	0.744311	1.35713	2.51985e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.75999e+15
