%%wl	rayleigh_cross_section_scattering	ozone_cross_section_absorption	aerosol_cross_section_scattering	aerosol_cross_section_absorption
360	2.598e-36	2.35372e-30	2.7162e-17	9.61573e-17
360.1	2.59519e-36	2.30674e-30	2.7162e-17	9.6105e-17
360.2	2.59238e-36	2.25976e-30	2.7162e-17	9.60527e-17
360.3	2.58957e-36	2.21279e-30	2.7162e-17	9.60004e-17
360.4	2.58676e-36	2.16581e-30	2.7162e-17	9.59481e-17
360.5	2.58395e-36	2.11884e-30	2.7162e-17	9.58958e-17
360.6	2.58114e-36	2.07186e-30	2.7162e-17	9.58492e-17
360.7	2.57833e-36	2.02488e-30	2.71619e-17	9.58251e-17
360.8	2.57552e-36	1.97791e-30	2.71617e-17	9.5801e-17
360.9	2.57271e-36	1.93093e-30	2.71616e-17	9.57769e-17
361	2.5699e-36	1.88395e-30	2.71615e-17	9.57528e-17
361.1	2.56709e-36	1.83697e-30	2.71614e-17	9.57287e-17
361.2	2.56428e-36	1.79e-30	2.71613e-17	9.57046e-17
361.3	2.56147e-36	1.74303e-30	2.71611e-17	9.56805e-17
361.4	2.55866e-36	1.69605e-30	2.7161e-17	9.56564e-17
361.5	2.55585e-36	1.64907e-30	2.71608e-17	9.56791e-17
361.6	2.55304e-36	1.60209e-30	2.71605e-17	9.57069e-17
361.7	2.55023e-36	1.55511e-30	2.71603e-17	9.57347e-17
361.8	2.54742e-36	1.50815e-30	2.71601e-17	9.57625e-17
361.9	2.54461e-36	1.46117e-30	2.71598e-17	9.57904e-17
362	2.5418e-36	1.41419e-30	2.71596e-17	9.58182e-17
362.1	2.53899e-36	1.36721e-30	2.71593e-17	9.5846e-17
362.2	2.53618e-36	1.32023e-30	2.71591e-17	9.58739e-17
362.3	2.53337e-36	1.27327e-30	2.71589e-17	9.58936e-17
362.4	2.53056e-36	1.22629e-30	2.71586e-17	9.59081e-17
362.5	2.52775e-36	1.17931e-30	2.71584e-17	9.59225e-17
362.6	2.52494e-36	1.13233e-30	2.71581e-17	9.59369e-17
362.7	2.52213e-36	1.08535e-30	2.71579e-17	9.59513e-17
362.8	2.51932e-36	1.03839e-30	2.71577e-17	9.59657e-17
362.9	2.51651e-36	9.91406e-31	2.71574e-17	9.59801e-17
363	2.5137e-36	9.44427e-31	2.71572e-17	9.59945e-17
363.1	2.51089e-36	8.97448e-31	2.7157e-17	9.59969e-17
363.2	2.50808e-36	8.50468e-31	2.71569e-17	9.59511e-17
363.3	2.50527e-36	8.03504e-31	2.71567e-17	9.59054e-17
363.4	2.50246e-36	7.56524e-31	2.71566e-17	9.58597e-17
363.5	2.49965e-36	7.09545e-31	2.71565e-17	9.5814e-17
363.6	2.49684e-36	6.62566e-31	2.71564e-17	9.57683e-17
363.7	2.49403e-36	6.15587e-31	2.71563e-17	9.57226e-17
363.8	2.49122e-36	5.68622e-31	2.71561e-17	9.56769e-17
363.9	2.48841e-36	5.21643e-31	2.7156e-17	9.56311e-17
364	2.4856e-36	4.74663e-31	2.71558e-17	9.55841e-17
364.1	2.48279e-36	4.27684e-31	2.71556e-17	9.55368e-17
364.2	2.47998e-36	3.80705e-31	2.71553e-17	9.54894e-17
364.3	2.47717e-36	3.3374e-31	2.71551e-17	9.54421e-17
364.4	2.47436e-36	2.86761e-31	2.71548e-17	9.53947e-17
364.5	2.47155e-36	2.39782e-31	2.71546e-17	9.53474e-17
364.6	2.46874e-36	1.92802e-31	2.71544e-17	9.53e-17
364.7	2.46593e-36	1.45823e-31	2.71541e-17	9.52527e-17
364.8	2.46312e-36	9.88584e-32	2.71539e-17	9.52389e-17
364.9	2.46031e-36	5.18792e-32	2.71536e-17	9.52586e-17
365	2.4575e-36	4.9e-33	2.71534e-17	9.52784e-17
365.1	2.45469e-36	4.8914e-33	2.71532e-17	9.52982e-17
365.2	2.45188e-36	4.8828e-33	2.71529e-17	9.53179e-17
365.3	2.44907e-36	4.8742e-33	2.71527e-17	9.53377e-17
365.4	2.44626e-36	4.8656e-33	2.71525e-17	9.53575e-17
